Participant	time	First_Gen	Gender	Ethnicity	Genie_used	RecitationPair_Time	score
ST46	.pre_recitation	N	F	W	Genie	Pair2_130	0.818181818
ST48	.pre_recitation	N	M	W	Genie	Pair2_700	0.818181818
ST57	.pre_recitation	N	M	W	Genie	Pair2_130	0.818181818
ST58	.pre_recitation	Y	M	W	Genie	Pair2_130	0.772727273
ST60	.pre_recitation	N	F	W	Genie	Pair1_700	1
ST62	.pre_recitation	N	F	W	Genie	Pair1_130	1
ST64	.pre_recitation	N	M	W	Genie	Pair1_700	0.909090909
ST70	.pre_recitation	N	M	W	Genie	Pair2_130	0.909090909
ST72	.pre_recitation	N	F	W	Genie	Pair1_700	0.818181818
ST75	.pre_recitation	N	F	W	Genie	Pair2_700	0.636363636
ST77	.pre_recitation	N	F	W	Genie	Pair1_130	1
ST79	.pre_recitation	N	F	W	Genie	Pair2_130	1
ST80	.pre_recitation	N	F	W	Genie	Pair1_700	0.863636364
ST85	.pre_recitation	N	M	W	Genie	Pair1_700	0.818181818
ST94	.pre_recitation	N	F	W	Genie	Pair1_130	0.909090909
ST98	.pre_recitation	N	M	W	Genie	Pair2_700	0.681818182
ST101	.pre_recitation	N	F	W	Genie	Pair2_130	0.863636364
ST104	.pre_recitation	N	M	W	Genie	Pair2_130	1
ST109	.pre_recitation	Y	F	W	Genie	Pair1_700	0.590909091
ST112	.pre_recitation	N	M	W	Genie	Pair2_700	0.5
ST114	.pre_recitation	N	F	W	Genie	Pair1_130	1
ST119	.pre_recitation	N	F	W	Genie	Pair2_130	0.772727273
ST122	.pre_recitation	N	F	W	Genie	Pair1_700	0.590909091
ST127	.pre_recitation	N	F	W	Genie	Pair1_700	0.636363636
ST135	.pre_recitation	N	F	W	Genie	Pair1_700	0.590909091
ST136	.pre_recitation	N	F	W	Genie	Pair1_700	1
ST141	.pre_recitation	N	F	W	Genie	Pair2_130	0.772727273
ST143	.pre_recitation	N	F	W	Genie	Pair2_700	0.545454545
ST146	.pre_recitation	N	F	W	Genie	Pair2_130	0.863636364
ST152	.pre_recitation	N	M	W	Genie	Pair2_700	0.590909091
ST159	.pre_recitation	N	M	W	Genie	Pair1_700	0.909090909
ST160	.pre_recitation	N	M	W	Genie	Pair2_700	0.681818182
ST161	.pre_recitation	N	M	W	Genie	Pair2_130	0.954545455
ST168	.pre_recitation	N	F	W	Genie	Pair2_700	0.590909091
ST179	.pre_recitation	N	M	W	Genie	Pair2_130	0.681818182
ST180	.pre_recitation	N	M	W	Genie	Pair1_130	1
ST181	.pre_recitation	N	M	W	Genie	Pair1_130	0.772727273
ST185	.pre_recitation	Y	F	W	Genie	Pair2_700	0.454545455
ST190	.pre_recitation	N	F	W	Genie	Pair2_130	0.772727273
ST193	.pre_recitation	N	M	W	Genie	Pair1_130	0.681818182
ST194	.pre_recitation	N	M	W	Genie	Pair1_700	0.772727273
ST200	.pre_recitation	N	M	W	Genie	Pair1_130	0.863636364
ST204	.pre_recitation	N	M	W	Genie	Pair1_130	0.590909091
ST211	.pre_recitation	N	F	W	Genie	Pair1_130	0.909090909
ST215	.pre_recitation	N	F	W	Genie	Pair1_130	0.863636364
ST218	.pre_recitation	N	F	W	Genie	Pair1_130	0.681818182
ST220	.pre_recitation	N	F	W	Genie	Pair2_700	0.636363636
ST221	.pre_recitation	N	F	W	Genie	Pair2_700	0.772727273
ST226	.pre_recitation	N	F	W	Genie	Pair1_130	1
ST231	.pre_recitation	N	F	W	Genie	Pair2_700	1
ST234	.pre_recitation	N	F	W	Genie	Pair1_700	0.545454545
ST235	.pre_recitation	N	F	W	Genie	Pair2_130	0.681818182
ST236	.pre_recitation	N	F	W	Genie	Pair1_130	1
