year	class	student	score_pre	score_post	diff
2016_Genie	Pair1_430	ST1	0.590909091	0.454545455	-0.136363636
2016_Genie	Pair2_600	ST2	0.545454545	0.454545455	-0.090909091
2016_Genie	Pair2_430	ST3	0.5	0.5	0
2016_Genie	Pair1_430	ST4	0.636363636	0.545454545	-0.090909091
2016_Genie	Pair1_300	ST5	0.636363636	0.590909091	-0.045454545
2016_Genie	Pair2_430	ST6	0.590909091	0.590909091	0
2016_Genie	Pair2_300	ST7	0.363636364	0.636363636	0.272727273
2016_Genie	Pair1_430	ST8	0.636363636	0.818181818	0.181818182
2016_Genie	Pair1_430	ST9	0.590909091	0.454545455	-0.136363636
2016_Genie	Pair1_430	ST10	0.727272727	0.454545455	-0.272727273
2016_Genie	Pair1_300	ST11	0.590909091	0.545454545	-0.045454545
2016_Genie	Pair2_600	ST12	0.545454545	0.545454545	0
2016_Genie	Pair2_600	ST13	0.5	0.545454545	0.045454545
2016_Genie	Pair2_730	ST14	0.363636364	0.545454545	0.181818182
2016_Genie	Pair1_300	ST15	0.363636364	0.545454545	0.181818182
2016_Genie	Pair2_300	ST16	0.318181818	0.545454545	0.227272727
2016_Genie	Pair2_300	ST17	0.5	0.590909091	0.090909091
2016_Genie	Pair2_600	ST18	0.681818182	0.636363636	-0.045454545
2016_Genie	Pair1_430	ST19	0.409090909	0.636363636	0.227272727
2016_Genie	Pair2_430	ST20	0.545454545	0.636363636	0.090909091
2016_Genie	Pair2_430	ST21	0.5	0.681818182	0.181818182
2016_Genie	Pair2_430	ST22	0.772727273	0.818181818	0.045454545
2016_Genie	Pair1_300	ST23	0.545454545	0.363636364	-0.181818182
2016_Genie	Pair2_430	ST24	0.454545455	0.409090909	-0.045454545
2016_Genie	Pair1_300	ST25	0.545454545	0.409090909	-0.136363636
2016_Genie	Pair2_600	ST26	0.454545455	0.5	0.045454545
2016_Genie	Pair2_430	ST27	0.5	0.545454545	0.045454545
2016_Genie	Pair2_730	ST28	0.590909091	0.545454545	-0.045454545
2016_Genie	Pair2_730	ST29	0.409090909	0.545454545	0.136363636
2016_Genie	Pair2_300	ST30	0.454545455	0.545454545	0.090909091
2016_Genie	Pair2_430	ST31	0.454545455	0.590909091	0.136363636
2016_Genie	Pair1_730	ST32	0.409090909	0.590909091	0.181818182
2016_Genie	Pair1_730	ST33	0.636363636	0.590909091	-0.045454545
2016_Genie	Pair1_300	ST34	0.590909091	0.590909091	0
2016_Genie	Pair1_430	ST35	0.318181818	0.590909091	0.272727273
2016_Genie	Pair2_430	ST36	0.454545455	0.681818182	0.227272727
2016_Genie	Pair2_600	ST37	0.681818182	0.681818182	0
2016_Genie	Pair2_730	ST38	0.545454545	0.727272727	0.181818182
2016_Genie	Pair2_300	ST39	0.590909091	0.727272727	0.136363636
2016_Genie	Pair2_600	ST40	0.454545455	0.772727273	0.318181818
2016_Genie	Pair2_430	ST41	0.272727273	0.818181818	0.545454545
2016_Genie	Pair1_300	ST42	0.454545455	0.818181818	0.363636364
2016_Genie	Pair2_730	ST43	0.590909091	0.818181818	0.227272727
2016_Genie	Pair1_300	ST44	0.636363636	0.909090909	0.272727273
2016_Genie	Pair1_730	ST45	0.5	0.272727273	-0.227272727
2016_Genie	Pair2_600	ST46	0.545454545	0.363636364	-0.181818182
2016_Genie	Pair1_600	ST47	0.5	0.363636364	-0.136363636
2016_Genie	Pair1_430	ST48	0.5	0.409090909	-0.090909091
2016_Genie	Pair1_430	ST49	0.5	0.454545455	-0.045454545
2016_Genie	Pair2_300	ST50	0.409090909	0.454545455	0.045454545
2016_Genie	Pair2_300	ST51	0.454545455	0.454545455	0
2016_Genie	Pair2_730	ST52	0.454545455	0.454545455	0
2016_Genie	Pair1_430	ST53	0.5	0.454545455	-0.045454545
2016_Genie	Pair2_430	ST54	0.545454545	0.5	-0.045454545
2016_Genie	Pair1_730	ST55	0.636363636	0.5	-0.136363636
2016_Genie	Pair2_430	ST56	0.5	0.5	0
2016_Genie	Pair2_430	ST57	0.590909091	0.5	-0.090909091
2016_Genie	Pair2_600	ST58	0.5	0.545454545	0.045454545
2016_Genie	Pair2_430	ST59	0.5	0.545454545	0.045454545
2016_Genie	Pair1_600	ST60	0.681818182	0.545454545	-0.136363636
2016_Genie	Pair1_430	ST61	0.5	0.545454545	0.045454545
2016_Genie	Pair1_430	ST62	0.454545455	0.545454545	0.090909091
2016_Genie	Pair1_430	ST63	0.454545455	0.590909091	0.136363636
2016_Genie	Pair1_430	ST64	0.363636364	0.590909091	0.227272727
2016_Genie	Pair2_300	ST65	0.727272727	0.590909091	-0.136363636
2016_Genie	Pair2_730	ST66	0.454545455	0.590909091	0.136363636
2016_Genie	Pair2_300	ST67	0.681818182	0.590909091	-0.090909091
2016_Genie	Pair1_430	ST68	0.454545455	0.590909091	0.136363636
2016_Genie	Pair2_600	ST69	0.545454545	0.590909091	0.045454545
2016_Genie	Pair1_300	ST70	0.681818182	0.590909091	-0.090909091
2016_Genie	Pair2_730	ST71	0.590909091	0.590909091	0
2016_Genie	Pair1_730	ST72	0.636363636	0.636363636	0
2016_Genie	Pair2_730	ST73	0.636363636	0.636363636	0
2016_Genie	Pair1_430	ST74	0.636363636	0.636363636	0
2016_Genie	Pair2_430	ST75	0.590909091	0.636363636	0.045454545
2016_Genie	Pair1_430	ST76	0.545454545	0.636363636	0.090909091
2016_Genie	Pair2_600	ST77	0.681818182	0.636363636	-0.045454545
2016_Genie	Pair1_600	ST78	0.590909091	0.636363636	0.045454545
2016_Genie	Pair2_730	ST79	0.681818182	0.636363636	-0.045454545
2016_Genie	Pair2_300	ST80	0.363636364	0.681818182	0.318181818
2016_Genie	Pair2_300	ST81	0.636363636	0.681818182	0.045454545
2016_Genie	Pair2_430	ST82	0.5	0.681818182	0.181818182
2016_Genie	Pair1_730	ST83	0.727272727	0.681818182	-0.045454545
2016_Genie	Pair1_430	ST84	0.454545455	0.681818182	0.227272727
2016_Genie	Pair2_300	ST85	0.681818182	0.681818182	0
2016_Genie	Pair1_300	ST86	0.545454545	0.681818182	0.136363636
2016_Genie	Pair2_430	ST87	0.681818182	0.681818182	0
2016_Genie	Pair1_430	ST88	0.545454545	0.681818182	0.136363636
2016_Genie	Pair2_300	ST89	0.590909091	0.727272727	0.136363636
2016_Genie	Pair1_300	ST90	0.590909091	0.727272727	0.136363636
2016_Genie	Pair2_430	ST91	0.454545455	0.727272727	0.272727273
2016_Genie	Pair1_600	ST92	0.636363636	0.727272727	0.090909091
2016_Genie	Pair2_600	ST93	0.454545455	0.727272727	0.272727273
2016_Genie	Pair2_300	ST94	0.772727273	0.727272727	-0.045454545
2016_Genie	Pair2_430	ST95	0.636363636	0.727272727	0.090909091
2016_Genie	Pair2_730	ST96	0.727272727	0.727272727	0
2016_Genie	Pair1_430	ST97	0.636363636	0.727272727	0.090909091
2016_Genie	Pair1_300	ST98	0.5	0.727272727	0.227272727
2016_Genie	Pair1_600	ST99	0.681818182	0.727272727	0.045454545
2016_Genie	Pair2_600	ST100	0.772727273	0.727272727	-0.045454545
2016_Genie	Pair2_300	ST101	0.545454545	0.727272727	0.181818182
2016_Genie	Pair1_730	ST102	0.727272727	0.727272727	0
2016_Genie	Pair1_300	ST103	0.590909091	0.727272727	0.136363636
2016_Genie	Pair1_600	ST104	0.727272727	0.727272727	0
2016_Genie	Pair2_430	ST105	0.363636364	0.727272727	0.363636364
2016_Genie	Pair2_600	ST106	0.727272727	0.727272727	0
2016_Genie	Pair2_430	ST107	0.545454545	0.727272727	0.181818182
2016_Genie	Pair2_600	ST108	0.454545455	0.772727273	0.318181818
2016_Genie	Pair2_430	ST109	0.727272727	0.772727273	0.045454545
2016_Genie	Pair2_430	ST110	0.636363636	0.772727273	0.136363636
2016_Genie	Pair1_300	ST111	0.772727273	0.772727273	0
2016_Genie	Pair2_300	ST112	0.681818182	0.772727273	0.090909091
2016_Genie	Pair1_600	ST113	0.727272727	0.772727273	0.045454545
2016_Genie	Pair1_430	ST114	0.681818182	0.772727273	0.090909091
2016_Genie	Pair2_430	ST115	0.727272727	0.772727273	0.045454545
2016_Genie	Pair2_600	ST116	0.863636364	0.772727273	-0.090909091
2016_Genie	Pair2_430	ST117	0.636363636	0.818181818	0.181818182
2016_Genie	Pair1_730	ST118	0.545454545	0.818181818	0.272727273
2016_Genie	Pair1_300	ST119	0.590909091	0.818181818	0.227272727
2016_Genie	Pair2_730	ST120	0.5	0.818181818	0.318181818
2016_Genie	Pair1_300	ST121	0.727272727	0.818181818	0.090909091
2016_Genie	Pair1_300	ST122	0.454545455	0.818181818	0.363636364
2016_Genie	Pair1_600	ST123	0.5	0.818181818	0.318181818
2016_Genie	Pair1_600	ST124	0.772727273	0.818181818	0.045454545
2016_Genie	Pair2_300	ST125	0.727272727	0.818181818	0.090909091
2016_Genie	Pair1_300	ST126	0.772727273	0.818181818	0.045454545
2016_Genie	Pair2_730	ST127	0.772727273	0.818181818	0.045454545
2016_Genie	Pair1_430	ST128	0.545454545	0.818181818	0.272727273
2016_Genie	Pair2_430	ST129	0.863636364	0.818181818	-0.045454545
2016_Genie	Pair2_600	ST130	0.590909091	0.818181818	0.227272727
2016_Genie	Pair1_600	ST131	0.772727273	0.863636364	0.090909091
2016_Genie	Pair1_300	ST132	0.681818182	0.863636364	0.181818182
2016_Genie	Pair1_600	ST133	0.727272727	0.863636364	0.136363636
2016_Genie	Pair1_300	ST134	0.681818182	0.863636364	0.181818182
2016_Genie	Pair1_430	ST135	0.5	0.863636364	0.363636364
2016_Genie	Pair1_300	ST136	0.772727273	0.863636364	0.090909091
2016_Genie	Pair1_300	ST137	0.818181818	0.863636364	0.045454545
2016_Genie	Pair2_430	ST138	0.909090909	0.863636364	-0.045454545
2016_Genie	Pair2_300	ST139	0.772727273	0.863636364	0.090909091
2016_Genie	Pair1_600	ST140	0.727272727	0.863636364	0.136363636
2016_Genie	Pair1_430	ST141	0.545454545	0.863636364	0.318181818
2016_Genie	Pair2_300	ST142	0.954545455	0.863636364	-0.090909091
2016_Genie	Pair1_600	ST143	0.636363636	0.863636364	0.227272727
2016_Genie	Pair1_430	ST144	0.727272727	0.863636364	0.136363636
2016_Genie	Pair2_430	ST145	0.727272727	0.909090909	0.181818182
2016_Genie	Pair1_300	ST146	0.818181818	0.909090909	0.090909091
2016_Genie	Pair1_430	ST147	0.909090909	0.909090909	0
2016_Genie	Pair1_600	ST148	0.818181818	0.909090909	0.090909091
2016_Genie	Pair2_600	ST149	0.590909091	0.909090909	0.318181818
2016_Genie	Pair2_600	ST150	0.590909091	0.909090909	0.318181818
2016_Genie	Pair1_600	ST151	0.772727273	0.909090909	0.136363636
