year	instruction	class	student	score
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST217	0.590909091
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST218	0.727272727
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST219	0.545454545
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST220	0.818181818
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST221	0.954545455
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST222	0.954545455
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST223	0.954545455
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST224	0.5
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST225	0.409090909
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST226	0.954545455
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST227	1
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST228	0.409090909
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST229	0.727272727
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST230	1
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST231	0.909090909
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST232	0.5
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST233	0.954545455
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST234	0.863636364
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST235	0.909090909
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST236	0.681818182
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST237	0.363636364
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST238	0.590909091
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST239	0.727272727
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST240	0.863636364
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST241	0.818181818
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST242	0.272727273
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST243	0.818181818
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST244	0.909090909
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST245	0.409090909
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST246	0.818181818
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST247	0.863636364
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST248	0.954545455
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST249	1
.Pre-recitation_score_2017	No_Genie	Pair2_300	ST250	0.454545455
