Participant	time	First_Gen	Gender	Ethnicity	Genie_used	RecitationPair_Time	score
ST73	.pre_recitation	N	M	W	No_Genie	Pair1_300	0.909090909
ST78	.pre_recitation	N	F	W	No_Genie	Pair2_300	0.545454545
ST92	.pre_recitation	N	F	W	No_Genie	Pair2_430	0.590909091
ST93	.pre_recitation	N	F	W	No_Genie	Pair2_430	0.545454545
ST96	.pre_recitation	N	F	W	No_Genie	Pair1_430	0.545454545
ST97	.pre_recitation	N	M	W	No_Genie	Pair2_430	0.590909091
ST103	.pre_recitation	Y	F	W	No_Genie	Pair1_300	0.545454545
ST105	.pre_recitation	N	M	W	No_Genie	Pair1_300	0.772727273
ST108	.pre_recitation	N	M	W	No_Genie	Pair2_300	0.954545455
ST115	.pre_recitation	N	F	W	No_Genie	Pair1_430	0.954545455
ST118	.pre_recitation	N	F	W	No_Genie	Pair2_430	0.772727273
ST123	.pre_recitation	N	M	W	No_Genie	Pair1_430	0.727272727
ST124	.pre_recitation	N	F	W	No_Genie	Pair1_430	0.318181818
ST129	.pre_recitation	N	F	W	No_Genie	Pair1_300	0.909090909
ST131	.pre_recitation	N	F	W	No_Genie	Pair1_430	0.909090909
ST132	.pre_recitation	N	M	W	No_Genie	Pair1_300	0.863636364
ST139	.pre_recitation	N	F	W	No_Genie	Pair2_300	0.409090909
ST140	.pre_recitation	N	F	W	No_Genie	Pair1_430	1
ST142	.pre_recitation	N	F	W	No_Genie	Pair2_300	0.727272727
ST144	.pre_recitation	Y	F	W	No_Genie	Pair1_300	1
ST147	.pre_recitation	N	M	W	No_Genie	Pair2_300	1
ST154	.pre_recitation	N	M	W	No_Genie	Pair1_300	0.863636364
ST157	.pre_recitation	N	M	W	No_Genie	Pair2_300	0.863636364
ST172	.pre_recitation	N	F	W	No_Genie	Pair1_300	0.636363636
ST182	.pre_recitation	N	M	W	No_Genie	Pair1_430	0.909090909
ST188	.pre_recitation	N	F	W	No_Genie	Pair2_430	0.772727273
ST192	.pre_recitation	N	M	W	No_Genie	Pair1_300	0.909090909
ST195	.pre_recitation	N	F	W	No_Genie	Pair1_430	0.454545455
ST197	.pre_recitation	Y	F	W	No_Genie	Pair2_300	0.818181818
ST205	.pre_recitation	N	F	W	No_Genie	Pair2_300	0.818181818
ST207	.pre_recitation	N	F	W	No_Genie	Pair1_300	0.772727273
ST209	.pre_recitation	N	M	W	No_Genie	Pair1_430	0.681818182
ST210	.pre_recitation	N	M	W	No_Genie	Pair2_430	0.772727273
ST216	.pre_recitation	N	F	W	No_Genie	Pair2_300	0.863636364
ST224	.pre_recitation	N	F	W	No_Genie	Pair1_300	0.409090909
ST227	.pre_recitation	N	F	W	No_Genie	Pair2_430	0.5
ST229	.pre_recitation	Y	F	W	No_Genie	Pair2_430	0.954545455
ST240	.pre_recitation	N	F	W	No_Genie	Pair1_300	0.863636364
ST243	.pre_recitation	N	M	W	No_Genie	Pair2_430	0.590909091
ST246	.pre_recitation	N	M	W	No_Genie	Pair1_300	0.863636364
ST253	.pre_recitation	N	M	W	No_Genie	Pair1_300	0.681818182
ST254	.pre_recitation	N	M	W	No_Genie	Pair1_300	0.681818182
ST2	post_recitation	N	F	W	No_Genie	Pair2_300	0.954545455
ST8	post_recitation	N	F	W	No_Genie	Pair2_300	0.954545455
ST9	post_recitation	N	M	W	No_Genie	Pair2_300	0.909090909
ST15	post_recitation	N	F	W	No_Genie	Pair2_430	1
ST32	post_recitation	N	F	W	No_Genie	Pair2_300	1
ST39	post_recitation	N	F	W	No_Genie	Pair1_430	0.954545455
ST40	post_recitation	N	M	W	No_Genie	Pair1_430	0.818181818
ST41	post_recitation	N	M	W	No_Genie	Pair1_430	0.863636364
ST45	post_recitation	Y	F	W	No_Genie	Pair2_430	0.772727273
ST54	post_recitation	N	F	W	No_Genie	Pair2_300	0.636363636
ST55	post_recitation	N	F	W	No_Genie	Pair1_430	0.909090909
ST67	post_recitation	N	F	W	No_Genie	Pair1_430	0.909090909
ST68	post_recitation	N	M	W	No_Genie	Pair1_300	0.909090909
ST71	post_recitation	N	M	W	No_Genie	Pair2_300	1
ST73	post_recitation	N	M	W	No_Genie	Pair1_300	0.954545455
ST78	post_recitation	N	F	W	No_Genie	Pair2_300	1
ST92	post_recitation	N	F	W	No_Genie	Pair2_430	0.772727273
ST93	post_recitation	N	F	W	No_Genie	Pair2_430	0.681818182
ST96	post_recitation	N	F	W	No_Genie	Pair1_430	0.818181818
ST97	post_recitation	N	M	W	No_Genie	Pair2_430	0.772727273
ST103	post_recitation	Y	F	W	No_Genie	Pair1_300	0.909090909
ST105	post_recitation	N	M	W	No_Genie	Pair1_300	0.909090909
ST108	post_recitation	N	M	W	No_Genie	Pair2_300	0.954545455
ST115	post_recitation	N	F	W	No_Genie	Pair1_430	0.954545455
ST118	post_recitation	N	F	W	No_Genie	Pair2_430	0.909090909
ST123	post_recitation	N	M	W	No_Genie	Pair1_430	1
ST124	post_recitation	N	F	W	No_Genie	Pair1_430	0.5
ST129	post_recitation	N	F	W	No_Genie	Pair1_300	0.954545455
ST131	post_recitation	N	F	W	No_Genie	Pair1_430	1
ST132	post_recitation	N	M	W	No_Genie	Pair1_300	0.909090909
ST139	post_recitation	N	F	W	No_Genie	Pair2_300	0.909090909
ST140	post_recitation	N	F	W	No_Genie	Pair1_430	0.954545455
ST142	post_recitation	N	F	W	No_Genie	Pair2_300	0.909090909
ST144	post_recitation	Y	F	W	No_Genie	Pair1_300	1
ST147	post_recitation	N	M	W	No_Genie	Pair2_300	0.954545455
ST154	post_recitation	N	M	W	No_Genie	Pair1_300	0.909090909
ST157	post_recitation	N	M	W	No_Genie	Pair2_300	0.954545455
ST172	post_recitation	N	F	W	No_Genie	Pair1_300	0.545454545
ST182	post_recitation	N	M	W	No_Genie	Pair1_430	0.954545455
ST188	post_recitation	N	F	W	No_Genie	Pair2_430	0.727272727
ST192	post_recitation	N	M	W	No_Genie	Pair1_300	0.863636364
ST195	post_recitation	N	F	W	No_Genie	Pair1_430	0.727272727
ST197	post_recitation	Y	F	W	No_Genie	Pair2_300	1
ST205	post_recitation	N	F	W	No_Genie	Pair2_300	0.954545455
ST207	post_recitation	N	F	W	No_Genie	Pair1_300	0.909090909
ST209	post_recitation	N	M	W	No_Genie	Pair1_430	0.863636364
ST210	post_recitation	N	M	W	No_Genie	Pair2_430	0.818181818
ST216	post_recitation	N	F	W	No_Genie	Pair2_300	0.909090909
ST224	post_recitation	N	F	W	No_Genie	Pair1_300	0.545454545
ST227	post_recitation	N	F	W	No_Genie	Pair2_430	0.681818182
ST229	post_recitation	Y	F	W	No_Genie	Pair2_430	1
ST240	post_recitation	N	F	W	No_Genie	Pair1_300	0.954545455
ST243	post_recitation	N	M	W	No_Genie	Pair2_430	0.590909091
ST246	post_recitation	N	M	W	No_Genie	Pair1_300	0.954545455
ST253	post_recitation	N	M	W	No_Genie	Pair1_300	0.681818182
ST254	post_recitation	N	M	W	No_Genie	Pair1_300	0.863636364
ST4	.pre_recitation	N	F	POC	No_Genie	Pair2_430	0.772727273
ST6	.pre_recitation	N	F	POC	No_Genie	Pair1_300	1
ST10	.pre_recitation	Y	F	POC	No_Genie	Pair1_430	1
