Participant	time	Gender	First_Gen	Bio340_at_ASU	Ethnicity	RecitationPair_Time	score
ST100	post_recitation	F	N	Y	POC	Pair2_600	0.727272727
ST103	post_recitation	F	Y	Y	POC	Pair1_300	0.727272727
ST108	post_recitation	M	Y	Y	POC	Pair2_600	0.772727273
ST126	post_recitation	F	Y	Y	POC	Pair1_300	0.818181818
ST129	post_recitation	M	Y	Y	POC	Pair2_430	0.818181818
ST130	post_recitation	M	Y	Y	POC	Pair2_600	0.818181818
ST133	post_recitation	F	N	Y	POC	Pair1_600	0.863636364
ST181	post_recitation	M	N	Y	POC	Pair2_730	0.954545455
ST183	post_recitation	M	N	Y	POC	Pair2_730	0.954545455
ST185	post_recitation	F	N	Y	POC	Pair2_430	1
ST203	post_recitation	M	N	Y	POC	Pair1_730	0.727272727
ST21	post_recitation	F	N	Y	POC	Pair2_430	0.681818182
ST28	post_recitation	F	Y	Y	POC	Pair2_730	0.545454545
ST29	post_recitation	M	Y	Y	POC	Pair2_730	0.545454545
ST31	post_recitation	F	Y	Y	POC	Pair2_430	0.590909091
ST33	post_recitation	M	Y	Y	POC	Pair1_730	0.590909091
ST41	post_recitation	F	Y	Y	POC	Pair2_430	0.818181818
ST42	post_recitation	M	Y	Y	POC	Pair1_300	0.818181818
ST5	post_recitation	M	Y	Y	POC	Pair1_300	0.590909091
ST61	post_recitation	F	N	Y	POC	Pair1_430	0.545454545
ST66	post_recitation	F	Y	Y	POC	Pair2_730	0.590909091
ST74	post_recitation	M	Y	Y	POC	Pair1_430	0.636363636
ST79	post_recitation	M	Y	Y	POC	Pair2_730	0.636363636
ST85	post_recitation	F	Y	Y	POC	Pair2_300	0.681818182
ST93	post_recitation	F	Y	Y	POC	Pair2_600	0.727272727
ST128	.pre_recitation	M	N	Y	POC	Pair1_430	0.545454545
ST51	.pre_recitation	F	Y	Y	POC	Pair2_300	0.454545455
ST128	post_recitation	M	N	Y	POC	Pair1_430	0.818181818
ST51	post_recitation	F	Y	Y	POC	Pair2_300	0.454545455
ST1	.pre_recitation	M	N	Y	W	Pair1_430	0.590909091
ST102	.pre_recitation	F	N	Y	W	Pair1_730	0.727272727
ST104	.pre_recitation	F	Y	Y	W	Pair1_600	0.727272727
ST106	.pre_recitation	M	N	Y	W	Pair2_600	0.727272727
ST11	.pre_recitation	F	Y	Y	W	Pair1_300	0.590909091
ST111	.pre_recitation	F	N	Y	W	Pair1_300	0.772727273
ST113	.pre_recitation	M	N	Y	W	Pair1_600	0.727272727
ST115	.pre_recitation	M	Y	Y	W	Pair2_430	0.727272727
ST116	.pre_recitation	M	Y	Y	W	Pair2_600	0.863636364
ST117	.pre_recitation	M	N	Y	W	Pair2_430	0.636363636
ST120	.pre_recitation	M	N	Y	W	Pair2_730	0.5
ST121	.pre_recitation	M	N	Y	W	Pair1_300	0.727272727
ST123	.pre_recitation	F	N	Y	W	Pair1_600	0.5
ST124	.pre_recitation	F	N	Y	W	Pair1_600	0.772727273
ST125	.pre_recitation	F	Y	Y	W	Pair2_300	0.727272727
ST127	.pre_recitation	F	Y	Y	W	Pair2_730	0.772727273
ST13	.pre_recitation	F	N	Y	W	Pair2_600	0.5
ST131	.pre_recitation	F	N	Y	W	Pair1_600	0.772727273
ST132	.pre_recitation	F	N	Y	W	Pair1_300	0.681818182
ST136	.pre_recitation	F	N	Y	W	Pair1_300	0.772727273
ST138	.pre_recitation	F	Y	Y	W	Pair2_430	0.909090909
ST140	.pre_recitation	M	N	Y	W	Pair1_600	0.727272727
ST141	.pre_recitation	M	N	Y	W	Pair1_430	0.545454545
ST144	.pre_recitation	M	N	Y	W	Pair1_430	0.727272727
ST145	.pre_recitation	F	N	Y	W	Pair2_430	0.727272727
ST147	.pre_recitation	F	N	Y	W	Pair1_430	0.909090909
ST148	.pre_recitation	M	Y	Y	W	Pair1_600	0.818181818
ST149	.pre_recitation	M	N	Y	W	Pair2_600	0.590909091
ST15	.pre_recitation	F	Y	Y	W	Pair1_300	0.363636364
ST150	.pre_recitation	F	N	Y	W	Pair2_600	0.590909091
ST151	.pre_recitation	F	N	Y	W	Pair1_600	0.772727273
ST152	.pre_recitation	F	Y	Y	W	Pair1_300	0.909090909
ST153	.pre_recitation	F	N	Y	W	Pair2_730	0.772727273
ST154	.pre_recitation	F	N	Y	W	Pair2_730	0.818181818
ST155	.pre_recitation	F	N	Y	W	Pair1_430	0.818181818
ST157	.pre_recitation	F	N	Y	W	Pair1_600	0.863636364
ST158	.pre_recitation	M	N	Y	W	Pair1_730	0.954545455
ST159	.pre_recitation	M	N	Y	W	Pair1_600	0.772727273
ST161	.pre_recitation	M	N	Y	W	Pair2_430	0.954545455
ST162	.pre_recitation	M	N	Y	W	Pair1_600	0.727272727
ST165	.pre_recitation	F	Y	Y	W	Pair1_600	0.727272727
ST167	.pre_recitation	M	N	Y	W	Pair2_430	0.954545455
ST168	.pre_recitation	M	N	Y	W	Pair2_430	1
ST169	.pre_recitation	M	N	Y	W	Pair1_730	1
ST170	.pre_recitation	M	N	Y	W	Pair2_300	0.363636364
ST171	.pre_recitation	M	N	Y	W	Pair1_300	0.954545455
ST173	.pre_recitation	F	N	Y	W	Pair1_600	0.954545455
ST175	.pre_recitation	F	N	Y	W	Pair1_300	0.772727273
ST176	.pre_recitation	F	N	Y	W	Pair2_300	0.727272727
ST177	.pre_recitation	F	N	Y	W	Pair2_730	0.863636364
ST178	.pre_recitation	F	Y	Y	W	Pair1_600	0.909090909
ST179	.pre_recitation	F	N	Y	W	Pair2_430	0.681818182
ST18	.pre_recitation	F	N	Y	W	Pair2_600	0.681818182
ST180	.pre_recitation	M	Y	Y	W	Pair1_300	0.636363636
ST182	.pre_recitation	M	N	Y	W	Pair2_430	0.863636364
ST186	.pre_recitation	F	N	Y	W	Pair1_300	0.772727273
ST187	.pre_recitation	F	N	Y	W	Pair2_300	0.681818182
ST188	.pre_recitation	M	N	Y	W	Pair1_430	0.818181818
ST189	.pre_recitation	M	N	Y	W	Pair1_300	0.454545455
ST19	.pre_recitation	F	N	Y	W	Pair1_430	0.409090909
ST190	.pre_recitation	F	N	Y	W	Pair2_430	0.909090909
ST193	.pre_recitation	F	N	Y	W	Pair2_300	0.818181818
ST194	.pre_recitation	F	N	Y	W	Pair2_300	1
ST195	.pre_recitation	F	Y	Y	W	Pair2_300	0.590909091
ST196	.pre_recitation	M	N	Y	W	Pair1_600	0.727272727
ST199	.pre_recitation	M	N	Y	W	Pair2_730	0.954545455
ST2	.pre_recitation	M	Y	Y	W	Pair2_600	0.545454545
ST200	.pre_recitation	M	N	Y	W	Pair2_600	0.863636364
ST201	.pre_recitation	M	N	Y	W	Pair2_300	0.5
ST22	.pre_recitation	F	N	Y	W	Pair2_430	0.772727273
ST23	.pre_recitation	M	N	Y	W	Pair1_300	0.545454545
ST24	.pre_recitation	F	N	Y	W	Pair2_430	0.454545455
ST3	.pre_recitation	M	N	Y	W	Pair2_430	0.5
ST30	.pre_recitation	M	N	Y	W	Pair2_300	0.454545455
ST32	.pre_recitation	F	N	Y	W	Pair1_730	0.409090909
ST34	.pre_recitation	F	N	Y	W	Pair1_300	0.590909091
ST35	.pre_recitation	M	N	Y	W	Pair1_430	0.318181818
ST36	.pre_recitation	F	N	Y	W	Pair2_430	0.454545455
ST39	.pre_recitation	F	N	Y	W	Pair2_300	0.590909091
ST40	.pre_recitation	F	N	Y	W	Pair2_600	0.454545455
